date,open,high,low,close,volume,turn
2016-07-25,291.0208877,297.255698,290.4532267,294.48362,2362353,0.188055814
2016-07-26,292.3548911,302.2794981,291.8723793,301.8442913,3555567,0.28304197
2016-07-27,302.6106337,303.32021,291.6831589,297.0853997,3922806,0.31227614
2016-07-28,295.1837353,302.0902778,294.7106844,299.0154472,3964399,0.315587163
2016-07-29,298.0977285,301.6929151,296.129837,296.2717522,2900737,0.230914033
2016-08-01,296.129837,297.0286336,288.5610232,290.4153826,3170185,0.252363521
2016-08-02,290.6897521,293.7645827,286.5269046,289.7058063,2654142,0.211283764
2016-08-03,290.4532267,291.3047182,287.7568368,290.2829284,2403907,0.191363733
2016-08-04,290.3113114,291.711542,287.8230639,289.7909555,2179364,0.17348892
2016-08-05,289.9707148,291.749386,288.5894063,289.4408978,2030848,0.16166626
2016-08-08,289.6490402,291.6831589,286.7255859,291.4939386,2200740,0.175190563
2016-08-09,291.5601657,300.548132,289.9044877,298.7316167,3928967,0.312766588
2016-08-10,298.0693455,299.441193,296.4420505,296.8961794,2094471,0.166730988
2016-08-11,297.4354573,304.2379287,297.0853997,299.6966404,3193972,0.254257092
2016-08-12,300.2926845,300.2926845,297.0853997,299.8858608,2335283,0.185900899
2016-08-15,298.7789218,304.3514609,297.2178539,301.5983049,3411013,0.271534706
2016-08-16,304.6447524,305.0988812,291.3993284,292.837403,8837869,0.703541194
2016-08-17,292.9130911,294.2092505,289.9801758,291.5507047,4375406,0.348305498
2016-08-18,291.3520233,292.9603962,288.6840165,289.9139487,3100599,0.246824107
2016-08-19,289.3179046,290.8789725,288.3718029,289.9612538,1914091,0.152371784
2016-08-22,289.6301182,292.8941691,289.507125,290.7559792,2081270,0.165680118
2016-08-23,290.7654402,292.3832742,289.3179046,290.3396945,1991426,0.15852806
2016-08-24,290.4721487,290.9168165,287.4540842,288.8259317,2277942,0.181336251
2016-08-25,288.7502436,288.9205419,283.8967418,286.6782808,2536258,0.201899573
2016-08-26,286.8012741,288.1352775,284.2089554,285.2023622,2143645,0.170645499
2016-08-29,291.3993284,292.1562098,288.7502436,290.9546606,3805557,0.302942498
2016-08-30,290.4532267,291.8723793,288.2488097,289.3746707,2117052,0.168528555
2016-08-31,290.1693962,294.0105691,289.0719182,293.4712912,4040144,0.321616866
2016-09-01,293.0077013,295.1837353,291.6358538,292.0710606,1718597,0.136809426
2016-09-02,291.3993284,292.7711759,288.447491,289.2989826,1857224,0.14784487
2016-09-05,289.6963453,292.3454301,289.3273656,291.8723793,1913870,0.152354191
2016-09-06,291.8723793,293.6321284,291.730464,293.2347657,2062583,0.164192534
2016-09-07,292.9887793,292.9887793,289.0340741,290.074786,2964515,0.235991099
2016-09-08,288.7597046,289.9801758,288.0028232,289.3368267,1670578,0.132986859
2016-09-09,290.1220911,290.3207724,287.6149215,288.2109656,1622251,0.129139774
2016-09-12,285.7227181,287.6149215,281.7207078,281.9950773,3823881,0.304401186
2016-09-13,283.7832096,284.7482333,283.1682435,284.2373384,1625588,0.129405417
2016-09-14,283.9251248,285.9119384,281.9477723,283.4236909,1852765,0.14748991
2016-09-19,283.8778198,285.3158944,283.7169825,283.9535079,1285210,0.102309525
2016-09-20,284.568474,284.587396,278.1539044,279.062162,3489260,0.277763581
2016-09-21,279.1567722,279.4689858,273.527467,278.2012095,3903723,0.310757032
2016-09-22,278.4377349,283.8115926,278.1633654,280.9732875,2960617,0.235680798
2016-09-23,281.0111316,282.8371079,279.4784468,281.6355587,1267190,0.100875037
2016-09-26,280.9922095,281.0016705,272.99765,273.1679483,3717608,0.295941292
2016-09-27,273.3098636,276.2427789,273.1963314,275.4764365,1791582,0.142619419
2016-09-28,276.0630196,276.0630196,272.0610093,272.8651958,2236001,0.177997526
2016-09-29,272.3353788,277.2078027,272.3353788,275.2966772,2370569,0.188709851
2016-09-30,274.3694975,283.480457,274.3694975,281.8531621,2960350,0.235659543
2016-10-10,282.4208231,287.4824673,282.4208231,286.6309757,2110362,0.167995996
2016-10-11,287.6149215,292.3454301,286.6688198,292.269742,4173675,0.332246641
2016-10-12,291.8723793,291.8723793,288.4664131,289.3368267,1928602,0.153526937
2016-10-13,290.2640063,290.3964606,287.1513317,287.5108503,1614398,0.128514634
2016-10-14,287.1134876,289.507125,286.8580402,289.1286843,1269092,0.101026447
2016-10-17,288.986769,289.0340741,285.2496672,286.1484639,1895703,0.150908002
2016-10-18,286.195769,291.8723793,285.7227181,290.604603,3038931,0.241915007
2016-10-19,291.8723793,292.1089047,288.6556334,289.9328707,1412328,0.112428791
2016-10-20,290.8222063,290.8222063,288.3718029,289.0151521,1407992,0.112083622
2016-10-21,288.6367114,289.0151521,286.2809181,287.7946809,1148332,0.091413311
2016-10-24,286.2903791,290.4532267,286.2903791,290.3869996,2624652,0.208936204
2016-10-25,290.8222063,296.129837,290.8222063,296.0730709,4376239,0.348371809
2016-10-26,296.129837,301.1536371,294.8525997,296.7731861,4681307,0.372656838
2016-10-27,296.120376,301.0684879,294.2470946,299.7912506,3295162,0.262312352
2016-10-28,300.3872947,301.2671693,297.0759387,299.9615489,2013733,0.160303815
2016-10-31,301.8064473,305.4016338,299.7250235,300.8130405,4359610,0.347048052
2016-11-01,300.8130405,301.8064473,298.5423963,299.6114913,1951239,0.155328962
2016-11-02,299.0532913,300.0656201,296.7731861,298.1923387,2063642,0.164276836
2016-11-03,298.0220404,299.4033489,297.2178539,298.8356879,1869081,0.14878875
2016-11-04,298.9586811,301.096871,297.0570167,297.8517421,2061927,0.164140313
2016-11-07,298.0220404,299.9142438,296.3190573,298.334254,1604780,0.12774899
2016-11-08,299.441193,304.8150507,298.6653896,302.752549,3419383,0.272201002
2016-11-09,302.752549,304.6163694,296.8867183,299.7344845,3000449,0.238851636
2016-11-10,301.9010574,303.6986507,300.6048981,301.9294405,1780496,0.141736914
2016-11-11,300.8508845,301.1441761,297.8328201,298.0977285,3590265,0.285804115
2016-11-14,298.5423963,298.8451489,293.2820708,294.2281725,3992049,0.31778825
2016-11-15,293.3199149,298.6370065,293.3199149,297.0853997,2447055,0.194798542
2016-11-16,296.8961794,298.4004811,295.1837353,296.2717522,1339981,0.106669587
2016-11-17,295.2594234,296.129837,293.7929657,294.2754776,1833776,0.145978285
2016-11-18,294.3890098,294.9945149,293.1779996,293.2915318,1937769,0.154256678
2016-11-21,294.2565556,294.8620607,291.749386,292.818481,2608384,0.207641185
2016-11-22,293.5753623,293.7172776,291.749386,292.2224369,2642427,0.210351188
2016-11-23,294.2376335,296.129837,292.4495013,296.0825319,3401504,0.270777739
2016-11-24,296.3190573,299.9142438,294.6349963,299.8480167,3907870,0.311087155
2016-11-25,299.9520879,300.8603455,296.5271997,299.8101726,2236967,0.178074424
2016-11-28,300.4345998,302.9228473,299.5358031,302.2794981,4925301,0.392080053
2016-11-29,303.4148202,312.6393119,302.194349,306.4991118,5883062,0.468322903
